work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,Medium-level,Full-time,Lead Data Scientist,62770,GB,Hybrid,GB,Small
2022,Senior-level,Full-time,Data Architect,250000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Architect,63000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Science Manager,189500,US,Remote,US,Large
2022,Senior-level,Full-time,Data Science Manager,140100,US,Remote,US,Large
2022,Senior-level,Full-time,Data Engineer,177600,US,Remote,US,Large
2022,Senior-level,Full-time,Data Engineer,131300,US,Remote,US,Large
2022,Medium-level,Full-time,Data Engineer,24000,US,On-site,US,Medium
2022,Medium-level,Full-time,Data Engineer,24000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,250000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,63000,US,On-site,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,202900,US,Remote,US,Large
2022,Senior-level,Full-time,Machine Learning Engineer,131300,US,Remote,US,Large
2022,Senior-level,Full-time,Data Engineer,145000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,115000,US,Remote,US,Medium
2022,Entry-level,Full-time,Machine Learning Engineer,115000,US,Hybrid,US,Large
2022,Medium-level,Full-time,Machine Learning Engineer,193900,US,On-site,US,Medium
2022,Medium-level,Full-time,Machine Learning Engineer,129300,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Scientist,180000,US,Remote,US,Large
2022,Senior-level,Full-time,Data Scientist,140000,US,Remote,US,Large
2022,Medium-level,Full-time,Data Analyst,216200,US,On-site,US,Medium
2022,Medium-level,Full-time,Data Analyst,144100,US,On-site,US,Medium
2022,Senior-level,Full-time,Machine Learning Scientist,216000,US,On-site,US,Medium
2022,Senior-level,Full-time,Machine Learning Scientist,144000,US,On-site,US,Medium
2022,Entry-level,Full-time,Data Analyst,150000,US,Remote,US,Large
2021,Entry-level,Full-time,Machine Learning Research Engineer,12171,IN,Remote,IN,Medium
2022,Medium-level,Full-time,Data Scientist,54273,IN,Remote,ID,Large
2022,Entry-level,Full-time,Applied Data Scientist,50000,AT,Hybrid,AT,Medium
2021,Senior-level,Full-time,Cloud Data Architect,250000,US,Hybrid,US,Large
2022,Excutive-level,Full-time,Research Scientist,85048,NL,On-site,NL,Large
2022,Medium-level,Full-time,Data Scientist,134329,GB,Remote,GB,Medium
2022,Senior-level,Full-time,Analytics Engineer,48000,AR,Remote,US,Small
2022,Excutive-level,Full-time,Data Science Manager,260500,US,On-site,US,Medium
2022,Excutive-level,Full-time,Data Science Manager,175100,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,210000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,100000,US,Remote,US,Medium
2022,Entry-level,Full-time,Data Analyst,55000,US,Remote,US,Small
2022,Medium-level,Full-time,Data Analyst,130000,US,Remote,US,Medium
2022,Senior-level,Full-time,Applied Machine Learning Scientist,78032,FR,Remote,GB,Large
2022,Entry-level,Full-time,Data Scientist,52623,BE,Hybrid,BE,Small
2022,Medium-level,Freelance,Applied Machine Learning Scientist,31013,IN,Remote,IN,Small
2022,Senior-level,Full-time,Data Engineer,206699,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,99100,US,On-site,US,Medium
2022,Medium-level,Full-time,Analytics Engineer,200000,US,On-site,US,Medium
2022,Medium-level,Full-time,Analytics Engineer,54000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,250000,US,On-site,US,Medium
